Time - Plot 0,Amplitude - Plot 0
8.9856,0.342663
8.986,0.345075
8.9864,0.342663
8.9868,0.342663
8.9872,0.340251
8.9876,0.340251
8.988,0.340251
8.9884,0.340251
8.9888,0.340251
8.9892,0.340251
8.9896,0.340251
8.99,0.342663
8.9904,0.342663
8.9908,0.342663
8.9912,0.342663
8.9916,0.342663
8.992,0.340251
8.9924,0.340251
8.9928,0.340251
8.9932,0.340251
8.9936,0.342663
8.994,0.345075
8.9944,0.345075
8.9948,0.345075
8.9952,0.340251
8.9956,0.342663
8.996,0.340251
8.9964,0.340251
8.9968,0.342663
8.9972,0.340251
8.9976,0.342663
8.998,0.342663
8.9984,0.342663
8.9988,0.342663
8.9992,0.342663
8.9996,0.345075
9,0.340251
9.0004,0.342663
9.0008,0.342663
9.0012,0.342663
9.0016,0.342663
9.002,0.340251
9.0024,0.340251
9.0028,0.342663
9.0032,0.342663
9.0036,0.342663
9.004,0.342663
9.0044,0.342663
9.0048,0.342663
9.0052,0.340251
9.0056,0.340251
9.006,0.340251
9.0064,0.342663
9.0068,0.342663
9.0072,0.342663
9.0076,0.342663
9.008,0.342663
9.0084,0.345075
9.0088,0.342663
9.0092,0.342663
9.0096,0.340251
9.01,0.337839
9.0104,0.342663
9.0108,0.342663
9.0112,0.345075
9.0116,0.342663
9.012,0.342663
9.0124,0.342663
9.0128,0.342663
9.0132,0.342663
9.0136,0.340251
9.014,0.340251
9.0144,0.340251
9.0148,0.340251
9.0152,0.340251
9.0156,0.342663
9.016,0.342663
9.0164,0.342663
9.0168,0.342663
9.0172,0.342663
9.0176,0.340251
9.018,0.340251
9.0184,0.340251
9.0188,0.342663
9.0192,0.342663
9.0196,0.342663
9.02,0.342663
9.0204,0.345075
9.0208,0.345075
9.0212,0.342663
9.0216,0.342663
9.022,0.340251
9.0224,0.340251
9.0228,0.340251
9.0232,0.342663
9.0236,0.342663
9.024,0.342663
9.0244,0.342663
9.0248,0.345075
9.0252,0.342663
9.0256,0.342663
9.026,0.342663
9.0264,0.342663
9.0268,0.340251
9.0272,0.342663
9.0276,0.340251
9.028,0.340251
9.0284,0.340251
9.0288,0.340251
9.0292,0.342663
9.0296,0.342663
9.03,0.342663
9.0304,0.342663
9.0308,0.340251
9.0312,0.340251
9.0316,0.340251
9.032,0.340251
9.0324,0.340251
9.0328,0.342663
9.0332,0.342663
9.0336,0.342663
9.034,0.342663
9.0344,0.342663
9.0348,0.342663
9.0352,0.345075
9.0356,0.342663
9.036,0.340251
9.0364,0.342663
9.0368,0.340251
9.0372,0.342663
9.0376,0.342663
9.038,0.342663
9.0384,0.345075
9.0388,0.342663
9.0392,0.342663
9.0396,0.342663
9.04,0.340251
9.0404,0.342663
9.0408,0.340251
9.0412,0.340251
9.0416,0.342663
9.042,0.340251
9.0424,0.340251
9.0428,0.340251
9.0432,0.340251
9.0436,0.342663
9.044,0.345075
9.0444,0.345075
9.0448,0.340251
9.0452,0.340251
9.0456,0.342663
9.046,0.340251
9.0464,0.340251
9.0468,0.340251
9.0472,0.340251
9.0476,0.340251
9.048,0.340251
9.0484,0.342663
9.0488,0.342663
9.0492,0.342663
9.0496,0.345075
9.05,0.342663
9.0504,0.342663
9.0508,0.340251
9.0512,0.342663
9.0516,0.342663
9.052,0.342663
9.0524,0.342663
9.0528,0.342663
9.0532,0.342663
9.0536,0.342663
9.054,0.342663
9.0544,0.342663
9.0548,0.340251
9.0552,0.342663
9.0556,0.340251
9.056,0.340251
9.0564,0.340251
9.0568,0.340251
9.0572,0.342663
9.0576,0.340251
9.058,0.340251
9.0584,0.342663
9.0588,0.340251
9.0592,0.340251
9.0596,0.342663
9.06,0.345075
9.0604,0.345075
9.0608,0.342663
9.0612,0.342663
9.0616,0.342663
9.062,0.342663
9.0624,0.340251
9.0628,0.340251
9.0632,0.340251
9.0636,0.340251
9.064,0.342663
9.0644,0.342663
9.0648,0.342663
9.0652,0.342663
9.0656,0.340251
9.066,0.340251
9.0664,0.340251
9.0668,0.340251
9.0672,0.340251
9.0676,0.340251
9.068,0.340251
9.0684,0.342663
9.0688,0.342663
9.0692,0.342663
9.0696,0.342663
9.07,0.342663
9.0704,0.342663
9.0708,0.340251
9.0712,0.340251
9.0716,0.340251
9.072,0.340251
9.0724,0.342663
9.0728,0.340251
9.0732,0.342663
9.0736,0.342663
9.074,0.342663
9.0744,0.345075
9.0748,0.345075
9.0752,0.345075
9.0756,0.342663
9.076,0.342663
9.0764,0.340251
9.0768,0.340251
9.0772,0.342663
9.0776,0.340251
9.078,0.342663
9.0784,0.342663
9.0788,0.342663
9.0792,0.342663
9.0796,0.340251
9.08,0.340251
9.0804,0.340251
9.0808,0.340251
9.0812,0.340251
9.0816,0.340251
9.082,0.342663
9.0824,0.340251
9.0828,0.342663
9.0832,0.342663
9.0836,0.342663
9.084,0.342663
9.0844,0.342663
9.0848,0.340251
9.0852,0.340251
9.0856,0.340251
9.086,0.340251
9.0864,0.340251
9.0868,0.340251
9.0872,0.342663
9.0876,0.342663
9.088,0.342663
9.0884,0.345075
9.0888,0.342663
9.0892,0.342663
9.0896,0.342663
9.09,0.342663
9.0904,0.342663
9.0908,0.340251
9.0912,0.340251
9.0916,0.340251
9.092,0.342663
9.0924,0.342663
9.0928,0.342663
9.0932,0.342663
9.0936,0.342663
9.094,0.342663
9.0944,0.340251
9.0948,0.342663
9.0952,0.340251
9.0956,0.342663
9.096,0.342663
9.0964,0.340251
9.0968,0.340251
9.0972,0.342663
9.0976,0.342663
9.098,0.342663
9.0984,0.342663
9.0988,0.342663
9.0992,0.342663
9.0996,0.340251
9.1,0.342663
9.1004,0.337839
9.1008,0.340251
9.1012,0.340251
9.1016,0.340251
9.102,0.340251
9.1024,0.342663
9.1028,0.345075
9.1032,0.342663
9.1036,0.342663
9.104,0.342663
9.1044,0.340251
9.1048,0.340251
9.1052,0.342663
9.1056,0.342663
9.106,0.342663
9.1064,0.342663
9.1068,0.342663
9.1072,0.345075
9.1076,0.342663
9.108,0.342663
9.1084,0.340251
9.1088,0.342663
9.1092,0.340251
9.1096,0.340251
9.11,0.342663
9.1104,0.342663
9.1108,0.342663
9.1112,0.342663
9.1116,0.342663
9.112,0.342663
9.1124,0.340251
9.1128,0.342663
9.1132,0.340251
9.1136,0.340251
9.114,0.342663
9.1144,0.340251
9.1148,0.342663
9.1152,0.342663
9.1156,0.342663
9.116,0.345075
9.1164,0.342663
9.1168,0.342663
9.1172,0.342663
9.1176,0.340251
9.118,0.340251
9.1184,0.342663
9.1188,0.342663
9.1192,0.342663
9.1196,0.345075
9.12,0.342663
9.1204,0.340251
9.1208,0.340251
9.1212,0.340251
9.1216,0.340251
9.122,0.340251
9.1224,0.340251
9.1228,0.340251
9.1232,0.342663
9.1236,0.342663
9.124,0.342663
9.1244,0.342663
9.1248,0.342663
9.1252,0.340251
9.1256,0.340251
9.126,0.340251
9.1264,0.340251
9.1268,0.340251
9.1272,0.340251
9.1276,0.342663
9.128,0.342663
9.1284,0.342663
9.1288,0.342663
9.1292,0.345075
9.1296,0.342663
9.13,0.342663
9.1304,0.342663
9.1308,0.340251
9.1312,0.337839
9.1316,0.340251
9.132,0.340251
9.1324,0.340251
9.1328,0.342663
9.1332,0.342663
9.1336,0.345075
9.134,0.345075
9.1344,0.342663
9.1348,0.342663
9.1352,0.342663
9.1356,0.342663
9.136,0.342663
9.1364,0.340251
9.1368,0.342663
9.1372,0.340251
9.1376,0.340251
9.138,0.342663
9.1384,0.340251
9.1388,0.342663
9.1392,0.342663
9.1396,0.342663
9.14,0.342663
9.1404,0.342663
9.1408,0.340251
9.1412,0.340251
9.1416,0.340251
9.142,0.340251
9.1424,0.340251
9.1428,0.340251
